x,y,z
4.591836734693878486e-02,4.285714285714286795e-03,0.000000000000000000e+00
4.591836734693878486e-02,4.285714285714286795e-03,1.000000000000000021e-02
4.795918367346939382e-02,4.285714285714286795e-03,-1.000000000000000021e-02
4.795918367346939382e-02,4.285714285714286795e-03,0.000000000000000000e+00
4.795918367346939382e-02,4.285714285714286795e-03,1.000000000000000021e-02
5.000000000000000278e-02,4.285714285714286795e-03,-1.000000000000000021e-02
5.000000000000000278e-02,4.285714285714286795e-03,0.000000000000000000e+00
5.000000000000000278e-02,4.285714285714286795e-03,1.000000000000000021e-02
-5.000000000000000278e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-5.000000000000000278e-02,4.693877551020408934e-03,0.000000000000000000e+00
-5.000000000000000278e-02,4.693877551020408934e-03,1.000000000000000021e-02
-4.795918367346939382e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-4.795918367346939382e-02,4.693877551020408934e-03,0.000000000000000000e+00
-4.795918367346939382e-02,4.693877551020408934e-03,1.000000000000000021e-02
-4.591836734693877792e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-4.591836734693877792e-02,4.693877551020408934e-03,0.000000000000000000e+00
-4.591836734693877792e-02,4.693877551020408934e-03,1.000000000000000021e-02
-4.387755102040816202e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-4.387755102040816202e-02,4.693877551020408934e-03,0.000000000000000000e+00
-4.387755102040816202e-02,4.693877551020408934e-03,1.000000000000000021e-02
-4.183673469387755306e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-4.183673469387755306e-02,4.693877551020408934e-03,0.000000000000000000e+00
-4.183673469387755306e-02,4.693877551020408934e-03,1.000000000000000021e-02
-3.979591836734694410e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-3.979591836734694410e-02,4.693877551020408934e-03,0.000000000000000000e+00
-3.979591836734694410e-02,4.693877551020408934e-03,1.000000000000000021e-02
-3.775510204081632820e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-3.775510204081632820e-02,4.693877551020408934e-03,0.000000000000000000e+00
-3.775510204081632820e-02,4.693877551020408934e-03,1.000000000000000021e-02
-3.571428571428571230e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-3.571428571428571230e-02,4.693877551020408934e-03,0.000000000000000000e+00
-3.571428571428571230e-02,4.693877551020408934e-03,1.000000000000000021e-02
-3.367346938775510334e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-3.367346938775510334e-02,4.693877551020408934e-03,0.000000000000000000e+00
-3.367346938775510334e-02,4.693877551020408934e-03,1.000000000000000021e-02
-3.163265306122449438e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-3.163265306122449438e-02,4.693877551020408934e-03,0.000000000000000000e+00
-3.163265306122449438e-02,4.693877551020408934e-03,1.000000000000000021e-02
-2.959183673469387849e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-2.959183673469387849e-02,4.693877551020408934e-03,0.000000000000000000e+00
-2.959183673469387849e-02,4.693877551020408934e-03,1.000000000000000021e-02
-2.755102040816326606e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-2.755102040816326606e-02,4.693877551020408934e-03,0.000000000000000000e+00
-2.755102040816326606e-02,4.693877551020408934e-03,1.000000000000000021e-02
-2.551020408163265363e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-2.551020408163265363e-02,4.693877551020408934e-03,0.000000000000000000e+00
-2.551020408163265363e-02,4.693877551020408934e-03,1.000000000000000021e-02
-2.346938775510204120e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-2.346938775510204120e-02,4.693877551020408934e-03,0.000000000000000000e+00
-2.346938775510204120e-02,4.693877551020408934e-03,1.000000000000000021e-02
-2.142857142857142877e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-2.142857142857142877e-02,4.693877551020408934e-03,0.000000000000000000e+00
-2.142857142857142877e-02,4.693877551020408934e-03,1.000000000000000021e-02
-1.938775510204081634e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-1.938775510204081634e-02,4.693877551020408934e-03,0.000000000000000000e+00
-1.938775510204081634e-02,4.693877551020408934e-03,1.000000000000000021e-02
-1.734693877551020391e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-1.734693877551020391e-02,4.693877551020408934e-03,0.000000000000000000e+00
-1.734693877551020391e-02,4.693877551020408934e-03,1.000000000000000021e-02
-1.530612244897959495e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-1.530612244897959495e-02,4.693877551020408934e-03,0.000000000000000000e+00
-1.530612244897959495e-02,4.693877551020408934e-03,1.000000000000000021e-02
-1.326530612244897905e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-1.326530612244897905e-02,4.693877551020408934e-03,0.000000000000000000e+00
-1.326530612244897905e-02,4.693877551020408934e-03,1.000000000000000021e-02
-1.122448979591836316e-02,4.693877551020408934e-03,-1.000000000000000021e-02
-1.122448979591836316e-02,4.693877551020408934e-03,0.000000000000000000e+00
-1.122448979591836316e-02,4.693877551020408934e-03,1.000000000000000021e-02
-9.183673469387754196e-03,4.693877551020408934e-03,-1.000000000000000021e-02
-9.183673469387754196e-03,4.693877551020408934e-03,0.000000000000000000e+00
-9.183673469387754196e-03,4.693877551020408934e-03,1.000000000000000021e-02
-7.142857142857145236e-03,4.693877551020408934e-03,-1.000000000000000021e-02
-7.142857142857145236e-03,4.693877551020408934e-03,0.000000000000000000e+00
-7.142857142857145236e-03,4.693877551020408934e-03,1.000000000000000021e-02
-5.102040816326529338e-03,4.693877551020408934e-03,-1.000000000000000021e-02
-5.102040816326529338e-03,4.693877551020408934e-03,0.000000000000000000e+00
-5.102040816326529338e-03,4.693877551020408934e-03,1.000000000000000021e-02
-3.061224489795913439e-03,4.693877551020408934e-03,-1.000000000000000021e-02
-3.061224489795913439e-03,4.693877551020408934e-03,0.000000000000000000e+00
-3.061224489795913439e-03,4.693877551020408934e-03,1.000000000000000021e-02
-1.020408163265304480e-03,4.693877551020408934e-03,-1.000000000000000021e-02
-1.020408163265304480e-03,4.693877551020408934e-03,0.000000000000000000e+00
-1.020408163265304480e-03,4.693877551020408934e-03,1.000000000000000021e-02
1.020408163265304480e-03,4.693877551020408934e-03,-1.000000000000000021e-02
1.020408163265304480e-03,4.693877551020408934e-03,0.000000000000000000e+00
1.020408163265304480e-03,4.693877551020408934e-03,1.000000000000000021e-02
3.061224489795920378e-03,4.693877551020408934e-03,-1.000000000000000021e-02
3.061224489795920378e-03,4.693877551020408934e-03,0.000000000000000000e+00
3.061224489795920378e-03,4.693877551020408934e-03,1.000000000000000021e-02
5.102040816326536277e-03,4.693877551020408934e-03,-1.000000000000000021e-02
5.102040816326536277e-03,4.693877551020408934e-03,0.000000000000000000e+00
5.102040816326536277e-03,4.693877551020408934e-03,1.000000000000000021e-02
7.142857142857145236e-03,4.693877551020408934e-03,-1.000000000000000021e-02
7.142857142857145236e-03,4.693877551020408934e-03,0.000000000000000000e+00
7.142857142857145236e-03,4.693877551020408934e-03,1.000000000000000021e-02
9.183673469387754196e-03,4.693877551020408934e-03,-1.000000000000000021e-02
9.183673469387754196e-03,4.693877551020408934e-03,0.000000000000000000e+00
9.183673469387754196e-03,4.693877551020408934e-03,1.000000000000000021e-02
1.122448979591837009e-02,4.693877551020408934e-03,-1.000000000000000021e-02
1.122448979591837009e-02,4.693877551020408934e-03,0.000000000000000000e+00
1.122448979591837009e-02,4.693877551020408934e-03,1.000000000000000021e-02
1.326530612244898599e-02,4.693877551020408934e-03,-1.000000000000000021e-02
1.326530612244898599e-02,4.693877551020408934e-03,0.000000000000000000e+00
1.326530612244898599e-02,4.693877551020408934e-03,1.000000000000000021e-02
1.530612244897959495e-02,4.693877551020408934e-03,-1.000000000000000021e-02
1.530612244897959495e-02,4.693877551020408934e-03,0.000000000000000000e+00
1.530612244897959495e-02,4.693877551020408934e-03,1.000000000000000021e-02
1.734693877551020391e-02,4.693877551020408934e-03,-1.000000000000000021e-02
1.734693877551020391e-02,4.693877551020408934e-03,0.000000000000000000e+00
1.734693877551020391e-02,4.693877551020408934e-03,1.000000000000000021e-02
1.938775510204081287e-02,4.693877551020408934e-03,-1.000000000000000021e-02
1.938775510204081287e-02,4.693877551020408934e-03,0.000000000000000000e+00
1.938775510204081287e-02,4.693877551020408934e-03,1.000000000000000021e-02
2.142857142857143571e-02,4.693877551020408934e-03,-1.000000000000000021e-02
2.142857142857143571e-02,4.693877551020408934e-03,0.000000000000000000e+00
2.142857142857143571e-02,4.693877551020408934e-03,1.000000000000000021e-02
2.346938775510204467e-02,4.693877551020408934e-03,-1.000000000000000021e-02
2.346938775510204467e-02,4.693877551020408934e-03,0.000000000000000000e+00
2.346938775510204467e-02,4.693877551020408934e-03,1.000000000000000021e-02
2.551020408163265363e-02,4.693877551020408934e-03,-1.000000000000000021e-02
2.551020408163265363e-02,4.693877551020408934e-03,0.000000000000000000e+00
2.551020408163265363e-02,4.693877551020408934e-03,1.000000000000000021e-02
2.755102040816327646e-02,4.693877551020408934e-03,-1.000000000000000021e-02
2.755102040816327646e-02,4.693877551020408934e-03,0.000000000000000000e+00
2.755102040816327646e-02,4.693877551020408934e-03,1.000000000000000021e-02
2.959183673469388542e-02,4.693877551020408934e-03,-1.000000000000000021e-02
2.959183673469388542e-02,4.693877551020408934e-03,0.000000000000000000e+00
2.959183673469388542e-02,4.693877551020408934e-03,1.000000000000000021e-02
3.163265306122449438e-02,4.693877551020408934e-03,-1.000000000000000021e-02
3.163265306122449438e-02,4.693877551020408934e-03,0.000000000000000000e+00
3.163265306122449438e-02,4.693877551020408934e-03,1.000000000000000021e-02
3.367346938775510334e-02,4.693877551020408934e-03,-1.000000000000000021e-02
3.367346938775510334e-02,4.693877551020408934e-03,0.000000000000000000e+00
3.367346938775510334e-02,4.693877551020408934e-03,1.000000000000000021e-02
3.571428571428571230e-02,4.693877551020408934e-03,-1.000000000000000021e-02
3.571428571428571230e-02,4.693877551020408934e-03,0.000000000000000000e+00
3.571428571428571230e-02,4.693877551020408934e-03,1.000000000000000021e-02
3.775510204081633514e-02,4.693877551020408934e-03,-1.000000000000000021e-02
3.775510204081633514e-02,4.693877551020408934e-03,0.000000000000000000e+00
3.775510204081633514e-02,4.693877551020408934e-03,1.000000000000000021e-02
3.979591836734694410e-02,4.693877551020408934e-03,-1.000000000000000021e-02
3.979591836734694410e-02,4.693877551020408934e-03,0.000000000000000000e+00
3.979591836734694410e-02,4.693877551020408934e-03,1.000000000000000021e-02
4.183673469387755306e-02,4.693877551020408934e-03,-1.000000000000000021e-02
4.183673469387755306e-02,4.693877551020408934e-03,0.000000000000000000e+00
4.183673469387755306e-02,4.693877551020408934e-03,1.000000000000000021e-02
4.387755102040817590e-02,4.693877551020408934e-03,-1.000000000000000021e-02
4.387755102040817590e-02,4.693877551020408934e-03,0.000000000000000000e+00
4.387755102040817590e-02,4.693877551020408934e-03,1.000000000000000021e-02
4.591836734693878486e-02,4.693877551020408934e-03,-1.000000000000000021e-02
4.591836734693878486e-02,4.693877551020408934e-03,0.000000000000000000e+00
4.591836734693878486e-02,4.693877551020408934e-03,1.000000000000000021e-02
4.795918367346939382e-02,4.693877551020408934e-03,-1.000000000000000021e-02
4.795918367346939382e-02,4.693877551020408934e-03,0.000000000000000000e+00
4.795918367346939382e-02,4.693877551020408934e-03,1.000000000000000021e-02
5.000000000000000278e-02,4.693877551020408934e-03,-1.000000000000000021e-02
5.000000000000000278e-02,4.693877551020408934e-03,0.000000000000000000e+00
5.000000000000000278e-02,4.693877551020408934e-03,1.000000000000000021e-02
-5.000000000000000278e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-5.000000000000000278e-02,5.102040816326531072e-03,0.000000000000000000e+00
-5.000000000000000278e-02,5.102040816326531072e-03,1.000000000000000021e-02
-4.795918367346939382e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-4.795918367346939382e-02,5.102040816326531072e-03,0.000000000000000000e+00
-4.795918367346939382e-02,5.102040816326531072e-03,1.000000000000000021e-02
-4.591836734693877792e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-4.591836734693877792e-02,5.102040816326531072e-03,0.000000000000000000e+00
-4.591836734693877792e-02,5.102040816326531072e-03,1.000000000000000021e-02
-4.387755102040816202e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-4.387755102040816202e-02,5.102040816326531072e-03,0.000000000000000000e+00
-4.387755102040816202e-02,5.102040816326531072e-03,1.000000000000000021e-02
-4.183673469387755306e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-4.183673469387755306e-02,5.102040816326531072e-03,0.000000000000000000e+00
-4.183673469387755306e-02,5.102040816326531072e-03,1.000000000000000021e-02
-3.979591836734694410e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-3.979591836734694410e-02,5.102040816326531072e-03,0.000000000000000000e+00
-3.979591836734694410e-02,5.102040816326531072e-03,1.000000000000000021e-02
-3.775510204081632820e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-3.775510204081632820e-02,5.102040816326531072e-03,0.000000000000000000e+00
-3.775510204081632820e-02,5.102040816326531072e-03,1.000000000000000021e-02
-3.571428571428571230e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-3.571428571428571230e-02,5.102040816326531072e-03,0.000000000000000000e+00
-3.571428571428571230e-02,5.102040816326531072e-03,1.000000000000000021e-02
-3.367346938775510334e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-3.367346938775510334e-02,5.102040816326531072e-03,0.000000000000000000e+00
-3.367346938775510334e-02,5.102040816326531072e-03,1.000000000000000021e-02
-3.163265306122449438e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-3.163265306122449438e-02,5.102040816326531072e-03,0.000000000000000000e+00
-3.163265306122449438e-02,5.102040816326531072e-03,1.000000000000000021e-02
-2.959183673469387849e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-2.959183673469387849e-02,5.102040816326531072e-03,0.000000000000000000e+00
-2.959183673469387849e-02,5.102040816326531072e-03,1.000000000000000021e-02
-2.755102040816326606e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-2.755102040816326606e-02,5.102040816326531072e-03,0.000000000000000000e+00
-2.755102040816326606e-02,5.102040816326531072e-03,1.000000000000000021e-02
-2.551020408163265363e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-2.551020408163265363e-02,5.102040816326531072e-03,0.000000000000000000e+00
-2.551020408163265363e-02,5.102040816326531072e-03,1.000000000000000021e-02
-2.346938775510204120e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-2.346938775510204120e-02,5.102040816326531072e-03,0.000000000000000000e+00
-2.346938775510204120e-02,5.102040816326531072e-03,1.000000000000000021e-02
-2.142857142857142877e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-2.142857142857142877e-02,5.102040816326531072e-03,0.000000000000000000e+00
-2.142857142857142877e-02,5.102040816326531072e-03,1.000000000000000021e-02
-1.938775510204081634e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-1.938775510204081634e-02,5.102040816326531072e-03,0.000000000000000000e+00
-1.938775510204081634e-02,5.102040816326531072e-03,1.000000000000000021e-02
-1.734693877551020391e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-1.734693877551020391e-02,5.102040816326531072e-03,0.000000000000000000e+00
-1.734693877551020391e-02,5.102040816326531072e-03,1.000000000000000021e-02
-1.530612244897959495e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-1.530612244897959495e-02,5.102040816326531072e-03,0.000000000000000000e+00
-1.530612244897959495e-02,5.102040816326531072e-03,1.000000000000000021e-02
-1.326530612244897905e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-1.326530612244897905e-02,5.102040816326531072e-03,0.000000000000000000e+00
-1.326530612244897905e-02,5.102040816326531072e-03,1.000000000000000021e-02
-1.122448979591836316e-02,5.102040816326531072e-03,-1.000000000000000021e-02
-1.122448979591836316e-02,5.102040816326531072e-03,0.000000000000000000e+00
-1.122448979591836316e-02,5.102040816326531072e-03,1.000000000000000021e-02
-9.183673469387754196e-03,5.102040816326531072e-03,-1.000000000000000021e-02
-9.183673469387754196e-03,5.102040816326531072e-03,0.000000000000000000e+00
-9.183673469387754196e-03,5.102040816326531072e-03,1.000000000000000021e-02
-7.142857142857145236e-03,5.102040816326531072e-03,-1.000000000000000021e-02
-7.142857142857145236e-03,5.102040816326531072e-03,0.000000000000000000e+00
-7.142857142857145236e-03,5.102040816326531072e-03,1.000000000000000021e-02
-5.102040816326529338e-03,5.102040816326531072e-03,-1.000000000000000021e-02
-5.102040816326529338e-03,5.102040816326531072e-03,0.000000000000000000e+00
-5.102040816326529338e-03,5.102040816326531072e-03,1.000000000000000021e-02
-3.061224489795913439e-03,5.102040816326531072e-03,-1.000000000000000021e-02
-3.061224489795913439e-03,5.102040816326531072e-03,0.000000000000000000e+00
-3.061224489795913439e-03,5.102040816326531072e-03,1.000000000000000021e-02
-1.020408163265304480e-03,5.102040816326531072e-03,-1.000000000000000021e-02
-1.020408163265304480e-03,5.102040816326531072e-03,0.000000000000000000e+00
-1.020408163265304480e-03,5.102040816326531072e-03,1.000000000000000021e-02
1.020408163265304480e-03,5.102040816326531072e-03,-1.000000000000000021e-02
1.020408163265304480e-03,5.102040816326531072e-03,0.000000000000000000e+00
1.020408163265304480e-03,5.102040816326531072e-03,1.000000000000000021e-02
3.061224489795920378e-03,5.102040816326531072e-03,-1.000000000000000021e-02
3.061224489795920378e-03,5.102040816326531072e-03,0.000000000000000000e+00
3.061224489795920378e-03,5.102040816326531072e-03,1.000000000000000021e-02
5.102040816326536277e-03,5.102040816326531072e-03,-1.000000000000000021e-02
5.102040816326536277e-03,5.102040816326531072e-03,0.000000000000000000e+00
5.102040816326536277e-03,5.102040816326531072e-03,1.000000000000000021e-02
7.142857142857145236e-03,5.102040816326531072e-03,-1.000000000000000021e-02
7.142857142857145236e-03,5.102040816326531072e-03,0.000000000000000000e+00
7.142857142857145236e-03,5.102040816326531072e-03,1.000000000000000021e-02
9.183673469387754196e-03,5.102040816326531072e-03,-1.000000000000000021e-02
9.183673469387754196e-03,5.102040816326531072e-03,0.000000000000000000e+00
9.183673469387754196e-03,5.102040816326531072e-03,1.000000000000000021e-02
1.122448979591837009e-02,5.102040816326531072e-03,-1.000000000000000021e-02
1.122448979591837009e-02,5.102040816326531072e-03,0.000000000000000000e+00
1.122448979591837009e-02,5.102040816326531072e-03,1.000000000000000021e-02
1.326530612244898599e-02,5.102040816326531072e-03,-1.000000000000000021e-02
1.326530612244898599e-02,5.102040816326531072e-03,0.000000000000000000e+00
1.326530612244898599e-02,5.102040816326531072e-03,1.000000000000000021e-02
1.530612244897959495e-02,5.102040816326531072e-03,-1.000000000000000021e-02
1.530612244897959495e-02,5.102040816326531072e-03,0.000000000000000000e+00
1.530612244897959495e-02,5.102040816326531072e-03,1.000000000000000021e-02
1.734693877551020391e-02,5.102040816326531072e-03,-1.000000000000000021e-02
1.734693877551020391e-02,5.102040816326531072e-03,0.000000000000000000e+00
1.734693877551020391e-02,5.102040816326531072e-03,1.000000000000000021e-02
1.938775510204081287e-02,5.102040816326531072e-03,-1.000000000000000021e-02
1.938775510204081287e-02,5.102040816326531072e-03,0.000000000000000000e+00
1.938775510204081287e-02,5.102040816326531072e-03,1.000000000000000021e-02
2.142857142857143571e-02,5.102040816326531072e-03,-1.000000000000000021e-02
2.142857142857143571e-02,5.102040816326531072e-03,0.000000000000000000e+00
2.142857142857143571e-02,5.102040816326531072e-03,1.000000000000000021e-02
2.346938775510204467e-02,5.102040816326531072e-03,-1.000000000000000021e-02
2.346938775510204467e-02,5.102040816326531072e-03,0.000000000000000000e+00
2.346938775510204467e-02,5.102040816326531072e-03,1.000000000000000021e-02
2.551020408163265363e-02,5.102040816326531072e-03,-1.000000000000000021e-02
2.551020408163265363e-02,5.102040816326531072e-03,0.000000000000000000e+00
2.551020408163265363e-02,5.102040816326531072e-03,1.000000000000000021e-02
2.755102040816327646e-02,5.102040816326531072e-03,-1.000000000000000021e-02
2.755102040816327646e-02,5.102040816326531072e-03,0.000000000000000000e+00
2.755102040816327646e-02,5.102040816326531072e-03,1.000000000000000021e-02
2.959183673469388542e-02,5.102040816326531072e-03,-1.000000000000000021e-02
2.959183673469388542e-02,5.102040816326531072e-03,0.000000000000000000e+00
2.959183673469388542e-02,5.102040816326531072e-03,1.000000000000000021e-02
3.163265306122449438e-02,5.102040816326531072e-03,-1.000000000000000021e-02
3.163265306122449438e-02,5.102040816326531072e-03,0.000000000000000000e+00
3.163265306122449438e-02,5.102040816326531072e-03,1.000000000000000021e-02
3.367346938775510334e-02,5.102040816326531072e-03,-1.000000000000000021e-02
3.367346938775510334e-02,5.102040816326531072e-03,0.000000000000000000e+00
3.367346938775510334e-02,5.102040816326531072e-03,1.000000000000000021e-02
3.571428571428571230e-02,5.102040816326531072e-03,-1.000000000000000021e-02
3.571428571428571230e-02,5.102040816326531072e-03,0.000000000000000000e+00
3.571428571428571230e-02,5.102040816326531072e-03,1.000000000000000021e-02
3.775510204081633514e-02,5.102040816326531072e-03,-1.000000000000000021e-02
3.775510204081633514e-02,5.102040816326531072e-03,0.000000000000000000e+00
3.775510204081633514e-02,5.102040816326531072e-03,1.000000000000000021e-02
3.979591836734694410e-02,5.102040816326531072e-03,-1.000000000000000021e-02
3.979591836734694410e-02,5.102040816326531072e-03,0.000000000000000000e+00
3.979591836734694410e-02,5.102040816326531072e-03,1.000000000000000021e-02
4.183673469387755306e-02,5.102040816326531072e-03,-1.000000000000000021e-02
4.183673469387755306e-02,5.102040816326531072e-03,0.000000000000000000e+00
4.183673469387755306e-02,5.102040816326531072e-03,1.000000000000000021e-02
4.387755102040817590e-02,5.102040816326531072e-03,-1.000000000000000021e-02
4.387755102040817590e-02,5.102040816326531072e-03,0.000000000000000000e+00
4.387755102040817590e-02,5.102040816326531072e-03,1.000000000000000021e-02
4.591836734693878486e-02,5.102040816326531072e-03,-1.000000000000000021e-02
4.591836734693878486e-02,5.102040816326531072e-03,0.000000000000000000e+00
4.591836734693878486e-02,5.102040816326531072e-03,1.000000000000000021e-02
4.795918367346939382e-02,5.102040816326531072e-03,-1.000000000000000021e-02
4.795918367346939382e-02,5.102040816326531072e-03,0.000000000000000000e+00
4.795918367346939382e-02,5.102040816326531072e-03,1.000000000000000021e-02
5.000000000000000278e-02,5.102040816326531072e-03,-1.000000000000000021e-02
5.000000000000000278e-02,5.102040816326531072e-03,0.000000000000000000e+00
5.000000000000000278e-02,5.102040816326531072e-03,1.000000000000000021e-02
-5.000000000000000278e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-5.000000000000000278e-02,5.510204081632653211e-03,0.000000000000000000e+00
-5.000000000000000278e-02,5.510204081632653211e-03,1.000000000000000021e-02
-4.795918367346939382e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-4.795918367346939382e-02,5.510204081632653211e-03,0.000000000000000000e+00
-4.795918367346939382e-02,5.510204081632653211e-03,1.000000000000000021e-02
-4.591836734693877792e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-4.591836734693877792e-02,5.510204081632653211e-03,0.000000000000000000e+00
-4.591836734693877792e-02,5.510204081632653211e-03,1.000000000000000021e-02
-4.387755102040816202e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-4.387755102040816202e-02,5.510204081632653211e-03,0.000000000000000000e+00
-4.387755102040816202e-02,5.510204081632653211e-03,1.000000000000000021e-02
-4.183673469387755306e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-4.183673469387755306e-02,5.510204081632653211e-03,0.000000000000000000e+00
-4.183673469387755306e-02,5.510204081632653211e-03,1.000000000000000021e-02
-3.979591836734694410e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-3.979591836734694410e-02,5.510204081632653211e-03,0.000000000000000000e+00
-3.979591836734694410e-02,5.510204081632653211e-03,1.000000000000000021e-02
-3.775510204081632820e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-3.775510204081632820e-02,5.510204081632653211e-03,0.000000000000000000e+00
-3.775510204081632820e-02,5.510204081632653211e-03,1.000000000000000021e-02
-3.571428571428571230e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-3.571428571428571230e-02,5.510204081632653211e-03,0.000000000000000000e+00
-3.571428571428571230e-02,5.510204081632653211e-03,1.000000000000000021e-02
-3.367346938775510334e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-3.367346938775510334e-02,5.510204081632653211e-03,0.000000000000000000e+00
-3.367346938775510334e-02,5.510204081632653211e-03,1.000000000000000021e-02
-3.163265306122449438e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-3.163265306122449438e-02,5.510204081632653211e-03,0.000000000000000000e+00
-3.163265306122449438e-02,5.510204081632653211e-03,1.000000000000000021e-02
-2.959183673469387849e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-2.959183673469387849e-02,5.510204081632653211e-03,0.000000000000000000e+00
-2.959183673469387849e-02,5.510204081632653211e-03,1.000000000000000021e-02
-2.755102040816326606e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-2.755102040816326606e-02,5.510204081632653211e-03,0.000000000000000000e+00
-2.755102040816326606e-02,5.510204081632653211e-03,1.000000000000000021e-02
-2.551020408163265363e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-2.551020408163265363e-02,5.510204081632653211e-03,0.000000000000000000e+00
-2.551020408163265363e-02,5.510204081632653211e-03,1.000000000000000021e-02
-2.346938775510204120e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-2.346938775510204120e-02,5.510204081632653211e-03,0.000000000000000000e+00
-2.346938775510204120e-02,5.510204081632653211e-03,1.000000000000000021e-02
-2.142857142857142877e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-2.142857142857142877e-02,5.510204081632653211e-03,0.000000000000000000e+00
-2.142857142857142877e-02,5.510204081632653211e-03,1.000000000000000021e-02
-1.938775510204081634e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-1.938775510204081634e-02,5.510204081632653211e-03,0.000000000000000000e+00
-1.938775510204081634e-02,5.510204081632653211e-03,1.000000000000000021e-02
-1.734693877551020391e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-1.734693877551020391e-02,5.510204081632653211e-03,0.000000000000000000e+00
-1.734693877551020391e-02,5.510204081632653211e-03,1.000000000000000021e-02
-1.530612244897959495e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-1.530612244897959495e-02,5.510204081632653211e-03,0.000000000000000000e+00
-1.530612244897959495e-02,5.510204081632653211e-03,1.000000000000000021e-02
-1.326530612244897905e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-1.326530612244897905e-02,5.510204081632653211e-03,0.000000000000000000e+00
-1.326530612244897905e-02,5.510204081632653211e-03,1.000000000000000021e-02
-1.122448979591836316e-02,5.510204081632653211e-03,-1.000000000000000021e-02
-1.122448979591836316e-02,5.510204081632653211e-03,0.000000000000000000e+00
-1.122448979591836316e-02,5.510204081632653211e-03,1.000000000000000021e-02
-9.183673469387754196e-03,5.510204081632653211e-03,-1.000000000000000021e-02
-9.183673469387754196e-03,5.510204081632653211e-03,0.000000000000000000e+00
-9.183673469387754196e-03,5.510204081632653211e-03,1.000000000000000021e-02
-7.142857142857145236e-03,5.510204081632653211e-03,-1.000000000000000021e-02
-7.142857142857145236e-03,5.510204081632653211e-03,0.000000000000000000e+00
-7.142857142857145236e-03,5.510204081632653211e-03,1.000000000000000021e-02
-5.102040816326529338e-03,5.510204081632653211e-03,-1.000000000000000021e-02
-5.102040816326529338e-03,5.510204081632653211e-03,0.000000000000000000e+00
-5.102040816326529338e-03,5.510204081632653211e-03,1.000000000000000021e-02
-3.061224489795913439e-03,5.510204081632653211e-03,-1.000000000000000021e-02
-3.061224489795913439e-03,5.510204081632653211e-03,0.000000000000000000e+00
